Last_promotion_gsp,Years@Current Mangers,Education,EducationField,Employee_ID,Env_Satisfaction,Gender,HourlyRate,Job_Involvement,JobLevel,JobRole,Job satisfac,Marital Status,Monthly Income,Company Changed,18Yrs,Over Time,PercentSalaryHike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Training time spent,Work LifeBalance,Years @company,Years@Current role,BusinessTravel,Dept,Travel_distance,Attrition
1,0,Master,Life Sciences,6255,2,Female,82,2,1,Research Scientist,1,Married,3519,8,Y,Yes,14,3,4,80,1,6,2,4,1,1,Travel_Rarely,Research & Development,5,No
2,3,Bachelor,Life Sciences,6256,3,Female,42,4,2,Sales Executive,1,Married,5476,1,Y,No,19,3,1,80,2,10,2,3,5,3,Travel_Frequently,Sales,1,No
1,0,Master,Life Sciences,6258,4,Female,33,3,1,Laboratory Technician,1,Divorced,2441,1,Y,No,13,3,4,80,1,1,5,3,1,0,Travel_Rarely,Research & Development,2,No
1,1,Bachelor,Life Sciences,6259,1,Male,48,1,1,Laboratory Technician,3,Single,2393,1,Y,No,12,3,3,80,0,1,1,2,1,0,Travel_Rarely,Research & Development,25,Yes
2,7,Bachelor,Life Sciences,6260,4,Male,37,3,3,Sales Executive,3,Single,8826,1,Y,No,15,3,4,80,0,9,0,3,9,8,Travel_Frequently,Sales,8,No
1,0,College,Life Sciences,6265,2,Male,73,3,1,Research Scientist,2,Married,3122,3,Y,No,21,4,1,80,0,8,0,3,1,0,Travel_Rarely,Research & Development,19,No
1,1,Below College,Life Sciences,6267,4,Male,36,4,1,Laboratory Technician,4,Married,2369,1,Y,No,19,3,4,80,0,1,1,3,1,0,Travel_Rarely,Research & Development,8,No
1,0,College,Life Sciences,6268,1,Male,98,2,3,Laboratory Technician,3,Single,5481,8,Y,Yes,13,3,4,80,0,23,1,3,1,0,Travel_Rarely,Research & Development,1,Yes
9,12,College,Life Sciences,6277,1,Female,98,3,3,Research Director,4,Single,13558,1,Y,Yes,12,3,3,80,0,15,0,3,15,14,Travel_Frequently,Research & Development,1,No
2,8,Phd,Life Sciences,6278,2,Male,71,3,3,Sales Executive,1,Married,9169,1,Y,No,22,4,4,80,1,9,2,2,9,8,Travel_Frequently,Sales,18,No
2,7,Master,Life Sciences,6280,4,Male,48,3,2,Laboratory Technician,4,Divorced,6015,2,Y,No,22,4,4,80,1,10,2,2,7,7,Travel_Rarely,Research & Development,7,No
1,7,Master,Life Sciences,6281,1,Male,51,2,2,Manufacturing Director,3,Divorced,6093,1,Y,No,18,3,3,80,1,7,1,4,7,5,Travel_Rarely,Research & Development,1,No
10,9,Phd,Life Sciences,6283,4,Female,50,3,2,Laboratory Technician,4,Single,2506,1,Y,No,11,3,4,80,0,10,1,3,10,3,Travel_Frequently,Research & Development,29,No
8,9,Bachelor,Life Sciences,6285,1,Female,99,3,3,Sales Executive,1,Single,7737,6,Y,No,11,3,4,80,0,28,2,2,21,16,Travel_Rarely,Sales,25,No
1,3,Bachelor,Life Sciences,6289,2,Male,95,2,2,Manufacturing Director,2,Single,6599,1,Y,No,13,3,3,80,0,6,2,3,6,5,Travel_Frequently,Research & Development,11,No
1,0,Bachelor,Life Sciences,6290,2,Male,59,3,3,Research Scientist,1,Divorced,9824,1,Y,No,17,3,3,80,1,25,1,3,1,0,Travel_Rarely,Research & Development,7,No
2,3,Below College,Life Sciences,6295,1,Female,57,2,2,Sales Executive,3,Single,5573,6,Y,No,11,3,4,80,0,20,1,2,4,3,Travel_Frequently,Sales,1,No
1,4,Bachelor,Life Sciences,6298,3,Male,76,3,1,Research Scientist,2,Married,2803,0,Y,No,23,4,4,80,1,6,2,3,5,4,Travel_Rarely,Research & Development,2,No
1,9,Bachelor,Life Sciences,6300,2,Male,4000,3,2,Research Scientist,2,Married,6320,1,Y,No,17,3,2,80,2,10,2,3,10,4,Travel_Rarely,Research & Development,1,No
1,0,Bachelor,Life Sciences,6301,2,Female,55,4,1,Laboratory Technician,4,Married,3138,2,Y,No,12,3,2,80,0,5,2,3,1,0,Travel_Rarely,Research & Development,6,No
2,8,Master,Life Sciences,6302,3,Female,61,3,2,Manufacturing Director,4,Single,4524,1,Y,No,23,4,4,80,0,11,1,3,11,7,Travel_Rarely,Research & Development,8,No
4,0,Below College,Life Sciences,6308,4,Male,55,2,2,Laboratory Technician,4,Married,5226,1,Y,Yes,12,3,3,80,2,10,0,2,10,8,Travel_Rarely,Research & Development,1,No
2,0,College,Life Sciences,6310,1,Male,70,3,3,Sales Executive,4,Married,10339,2,Y,No,14,3,4,80,1,24,3,,1,0,Travel_Rarely,Sales,1,No
1,2,Bachelor,Life Sciences,6316,4,Male,49,1,3,Manufacturing Director,4,Single,7360,3,Y,No,11,3,1,80,0,37,2,2,6,4,Travel_Rarely,Research & Development,7,No
1,3,Master,Life Sciences,6320,4,Male,96,3,1,Laboratory Technician,4,Married,2175,2,Y,No,23,4,2,80,2,10,3,3,4,2,Travel_Rarely,Research & Development,9,No
11,8,Bachelor,Life Sciences,6321,3,Male,99,2,2,Healthcare Representative,4,Married,4252,1,Y,No,19,3,1,80,3,11,2,3,11,10,Travel_Rarely,Research & Development,2,No
12,11,Master,Life Sciences,6323,3,Male,78,2,4,Healthcare Representative,2,Married,13603,1,Y,No,22,4,4,80,1,22,2,2,22,3,Travel_Frequently,Research & Development,1,No
1,0,Below College,Life Sciences,6338,4,Male,3000,3,1,Research Scientist,1,Single,3056,1,Y,No,13,3,4,80,0,1,1,3,1,0,Travel_Rarely,Research & Development,1,No
2,0,Bachelor,Life Sciences,6341,2,Female,66,2,1,Laboratory Technician,4,Single,3026,1,Y,Yes,18,3,2,80,0,1,4,3,1,0,Travel_Frequently,Research & Development,6,Yes
1,0,College,Life Sciences,6343,1,Male,100,2,2,Healthcare Representative,4,Divorced,5263,4,Y,No,14,3,4,80,1,17,1,4,1,0,Non-Travel,Research & Development,2,No
1,7,Bachelor,Life Sciences,6345,1,Female,73,3,5,Research Director,2,Married,18272,2,Y,Yes,19,3,1,80,0,28,0,2,8,3,Travel_Frequently,Research & Development,1,No
1,6,Bachelor,Life Sciences,6351,1,Male,66,1,2,Laboratory Technician,3,Single,6174,1,Y,Yes,24,4,4,80,0,9,2,3,9,7,Travel_Frequently,Research & Development,7,Yes
2,2,Below College,Life Sciences,6354,2,Male,52,3,1,Laboratory Technician,3,Married,2874,0,Y,No,12,3,3,80,1,6,1,3,5,3,Travel_Rarely,Research & Development,18,No
1,0,Master,Life Sciences,6355,3,Female,45,2,2,Research Scientist,2,Divorced,4605,5,Y,No,15,3,3,80,1,12,2,3,1,0,Travel_Rarely,Research & Development,6,No
2,3,Bachelor,Life Sciences,6356,3,Male,87,3,3,Sales Executive,4,Single,7528,1,Y,No,12,3,1,80,0,12,2,3,5,3,Travel_Rarely,Sales,3,No
1,0,College,Life Sciences,6359,1,Female,39,3,1,Laboratory Technician,4,Divorced,2935,4,Y,No,22,4,1,80,1,7,1,3,1,0,Travel_Rarely,Research & Development,3,No
5,12,College,Life Sciences,6362,3,Male,92,3,4,Manager,4,Married,17059,1,Y,Yes,12,3,4,80,2,25,2,4,25,12,Travel_Frequently,Sales,26,No
1,9,Bachelor,Life Sciences,6363,1,Male,96,1,1,Research Scientist,3,Divorced,2713,1,Y,No,25,4,3,80,3,10,1,2,10,7,Travel_Frequently,Research & Development,23,No
5,3,Master,Life Sciences,6365,2,Female,72,3,1,Research Scientist,2,Married,5063,8,Y,Yes,18,3,1,80,3,7,1,3,5,4,Travel_Rarely,Research & Development,14,Yes
16,15,Bachelor,Life Sciences,6366,1,Male,51,3,5,Research Director,3,Single,19637,6,Y,No,13,3,3,80,0,23,4,3,20,18,Travel_Rarely,Research & Development,6,No
8,7,Master,Life Sciences,6367,2,Male,76,1,2,Sales Executive,3,Married,6272,3,Y,Yes,18,3,2,80,0,12,2,2,7,7,Travel_Rarely,Sales,6,Yes
3,2,Bachelor,Life Sciences,6379,2,Female,71,1,2,Sales Executive,3,Married,4659,2,Y,Yes,11,3,3,80,1,4,1,3,2,2,Travel_Rarely,Sales,20,Yes
1,7,Below College,Life Sciences,6380,1,Male,96,3,3,Sales Executive,3,Divorced,8289,2,Y,Yes,13,3,3,80,1,12,1,3,9,7,Travel_Rarely,Sales,9,No
6,7,Below College,Life Sciences,6381,3,Female,61,3,1,Human Resources,3,Married,3042,1,Y,No,23,4,4,80,1,8,2,3,8,7,Travel_Rarely,Human Resources,25,No
1,3,Master,Life Sciences,6383,1,Male,53,1,3,Manufacturing Director,4,Single,10750,1,Y,No,15,3,4,80,0,18,1,3,4,2,Travel_Frequently,Research & Development,8,Yes
6,9,Master,Life Sciences,6386,4,Female,47,2,2,Sales Executive,3,Married,6002,3,Y,No,14,3,3,80,1,17,0,4,15,11,Travel_Rarely,Sales,4,No
3,2,Bachelor,Life Sciences,6387,1,Male,41,2,2,Sales Executive,3,Married,8739,1,Y,No,18,3,4,80,0,6,2,3,2,2,Travel_Rarely,Sales,28,No
1,4,Bachelor,Life Sciences,6398,1,Female,75,3,1,Research Scientist,3,Single,2732,1,Y,No,14,3,3,80,0,5,3,2,5,4,Travel_Rarely,Research & Development,18,No
8,7,Bachelor,Life Sciences,6403,4,Male,91,2,4,Manager,1,Divorced,17281,3,Y,No,13,3,2,80,1,21,1,2,7,6,Travel_Frequently,Research & Development,10,No
2,4,Master,Life Sciences,6404,3,Male,94,3,1,Laboratory Technician,1,Married,2338,1,Y,No,21,4,4,80,1,7,1,3,5,0,Travel_Rarely,Research & Development,9,No
1,15,Bachelor,Life Sciences,6410,2,Male,60,3,2,Laboratory Technician,2,Divorced,2448,7,Y,No,18,3,3,80,1,20,1,1,17,9,Travel_Rarely,Research & Development,9,No
2,4,College,Life Sciences,6427,3,Male,83,4,3,Healthcare Representative,4,Divorced,9539,2,Y,Yes,16,3,2,80,1,12,1,1,5,3,Travel_Rarely,Research & Development,24,No
5,4,Bachelor,Life Sciences,6430,3,Female,53,3,5,Manager,2,Single,20026,2,Y,No,15,3,2,80,0,21,4,3,5,4,Travel_Rarely,Research & Development,11,No
2,8,Bachelor,Life Sciences,6431,1,Male,56,3,1,Research Scientist,3,Divorced,2551,3,Y,No,12,3,1,80,1,13,1,3,9,8,Travel_Rarely,Research & Development,14,No
8,4,Bachelor,Life Sciences,6432,2,Female,41,3,3,Sales Executive,4,Married,9519,1,Y,No,12,3,3,80,1,12,1,3,10,9,Travel_Rarely,Sales,5,No
1,7,Master,Life Sciences,6434,1,Female,59,2,2,Sales Executive,4,Single,8786,3,Y,No,22,4,3,80,0,12,1,,8,3,Travel_Rarely,Sales,1,No
2,4,Phd,Life Sciences,6435,3,Male,43,3,1,Research Scientist,3,Single,3138,2,Y,No,20,4,1,80,0,8,1,3,5,4,Travel_Rarely,Research & Development,6,No
1,3,College,Life Sciences,6444,3,Female,30,3,2,Sales Executive,1,Divorced,5106,3,Y,Yes,11,3,1,80,1,9,2,4,5,4,Travel_Rarely,Sales,4,No
3,2,Bachelor,Life Sciences,6445,3,Female,67,3,1,Research Scientist,1,Divorced,4357,3,Y,Yes,18,3,3,80,1,19,2,3,2,2,Travel_Rarely,Research & Development,8,No
1,2,Bachelor,Life Sciences,6446,3,Male,90,3,1,Research Scientist,4,Single,2600,0,Y,No,14,3,1,80,0,4,1,4,3,1,Travel_Rarely,Research & Development,2,No
2,0,Bachelor,Life Sciences,6447,2,Male,47,2,1,Laboratory Technician,4,Single,1202,1,Y,No,22,4,3,80,0,1,2,2,1,0,Travel_Rarely,Research & Development,2,Yes
3,1,College,Life Sciences,6449,3,Female,75,3,1,Laboratory Technician,4,Single,2388,1,Y,No,12,3,3,80,0,2,2,3,2,2,Travel_Rarely,Research & Development,9,No
2,9,Below College,Life Sciences,6460,4,Male,45,2,2,Manufacturing Director,3,Married,9647,1,Y,No,17,3,3,80,0,10,1,2,10,9,Travel_Frequently,Research & Development,2,No
12,9,Master,Life Sciences,6463,3,Male,65,2,5,Manager,3,Married,20099,0,Y,No,14,3,1,80,1,34,4,3,33,18,Travel_Rarely,Research & Development,1,No
1,1,College,Life Sciences,6465,2,Male,50,2,2,Manufacturing Director,3,Married,6016,2,Y,Yes,13,3,1,80,0,8,0,3,1,0,Travel_Rarely,Research & Development,23,Yes
2,7,Bachelor,Life Sciences,6471,2,Male,65,4,1,Research Scientist,1,Married,3664,1,Y,Yes,12,3,1,80,1,8,2,2,8,7,Travel_Rarely,Research & Development,21,No
1,0,Master,Life Sciences,6475,4,Male,88,3,2,Manufacturing Director,3,Married,6653,8,Y,No,14,3,2,80,0,14,2,3,1,0,Travel_Rarely,Research & Development,2,No
2,7,Master,Life Sciences,6479,4,Male,92,3,2,Manufacturing Director,4,Divorced,6904,1,Y,Yes,15,3,1,80,2,7,0,3,7,7,Non-Travel,Research & Development,18,No
3,2,Bachelor,Life Sciences,6488,4,Male,23,4,1,Research Scientist,2,Divorced,2428,1,Y,Yes,16,3,1,80,1,4,1,2,4,2,Travel_Rarely,Research & Development,5,No
1,2,Phd,Life Sciences,6491,4,Male,63,2,2,Healthcare Representative,4,Married,4976,8,Y,No,14,3,4,80,1,5,4,1,3,2,Non-Travel,Research & Development,9,No
6,8,Below College,Life Sciences,6496,3,Male,88,2,3,Manufacturing Director,3,Single,8574,1,Y,No,22,4,3,80,0,12,1,3,11,8,Non-Travel,Research & Development,1,No
1,7,Bachelor,Life Sciences,6497,4,Female,90,3,2,Sales Executive,3,Single,10081,1,Y,No,14,3,4,80,0,7,1,3,7,7,Travel_Frequently,Sales,20,No
5,7,Master,Life Sciences,6500,2,Male,81,2,3,Research Director,2,Married,12590,4,Y,No,16,3,4,80,2,16,4,1,10,9,Travel_Rarely,Research & Development,8,No
1,0,Bachelor,Life Sciences,6502,4,Female,75,3,3,Manager,4,Single,13691,2,Y,Yes,18,3,3,80,0,16,2,3,1,0,Travel_Rarely,Sales,6,No
4,7,College,Life Sciences,6508,4,Male,62,3,2,Laboratory Technician,2,Single,6014,7,Y,No,16,3,4,80,0,16,2,4,13,11,Travel_Rarely,Research & Development,5,No
6,13,Bachelor,Life Sciences,6511,1,Male,76,3,3,Sales Executive,3,Divorced,10709,0,Y,No,12,3,3,80,2,17,5,2,16,10,Travel_Rarely,Sales,3,No
1,0,Bachelor,Life Sciences,6513,3,Male,70,2,1,Research Scientist,4,Married,2277,2,Y,No,17,3,1,80,1,7,5,3,1,0,Travel_Rarely,Research & Development,3,No
3,2,Bachelor,Life Sciences,6520,3,Female,89,2,1,Laboratory Technician,4,Single,3312,6,Y,No,15,3,2,80,0,6,2,2,2,2,Travel_Rarely,Research & Development,2,No
2,7,College,Life Sciences,6532,1,Female,39,3,1,Laboratory Technician,1,Married,2807,6,Y,No,20,4,1,80,0,13,2,4,9,7,Travel_Rarely,Research & Development,2,Yes
16,12,Master,Life Sciences,6533,1,Male,79,2,5,Manager,3,Single,19168,1,Y,Yes,18,3,4,80,0,33,1,4,33,7,Non-Travel,Sales,2,No
2,2,College,Life Sciences,6534,3,Female,56,3,1,Sales Representative,2,Married,4031,1,Y,No,11,3,1,80,1,6,4,3,4,3,Travel_Rarely,Sales,4,No
2,2,Bachelor,Life Sciences,6535,2,Male,62,2,1,Laboratory Technician,3,Single,3830,0,Y,Yes,14,3,4,80,0,4,1,1,3,2,Travel_Rarely,Research & Development,1,Yes
1,0,College,Life Sciences,6538,3,Male,36,3,2,Research Scientist,1,Divorced,3172,1,Y,No,16,3,1,80,2,17,1,2,1,0,Travel_Rarely,Research & Development,19,No
1,2,Master,Life Sciences,6542,3,Female,63,2,1,Research Scientist,4,Married,3011,1,Y,No,13,3,3,80,1,2,1,2,2,2,Travel_Rarely,Research & Development,5,No
6,9,Master,Life Sciences,6543,4,Male,84,2,2,Manufacturing Director,1,Married,6057,5,Y,No,13,3,2,80,1,13,2,3,11,9,Travel_Rarely,Research & Development,2,No
1,2,Master,Life Sciences,6545,1,Male,77,4,2,Manufacturing Director,3,Married,6534,3,Y,No,17,3,4,80,1,9,0,3,3,2,Travel_Frequently,Research & Development,7,No
2,5,Bachelor,Life Sciences,6550,3,Male,60,3,1,Research Scientist,4,Single,2440,1,Y,No,19,3,1,80,0,6,0,3,6,5,Travel_Rarely,Research & Development,15,No
1,2,College,Life Sciences,6551,4,Female,82,4,2,Research Scientist,1,Single,6645,2,Y,Yes,13,3,3,80,0,10,0,3,3,2,Travel_Rarely,Research & Development,17,No
2,2,Bachelor,Life Sciences,6554,1,Female,62,3,2,Manufacturing Director,3,Married,4998,0,Y,No,12,3,4,80,2,5,2,3,4,2,Travel_Rarely,Research & Development,1,No
1,0,Bachelor,Life Sciences,6557,3,Male,96,3,1,Research Scientist,4,Married,2823,1,Y,No,11,3,2,80,0,1,0,2,1,0,Travel_Rarely,Research & Development,1,No
1,3,Bachelor,Life Sciences,6563,2,Male,100,4,1,Laboratory Technician,2,Married,2894,1,Y,No,20,4,3,80,0,5,2,1,5,1,Travel_Frequently,Research & Development,7,No
8,5,College,Life Sciences,6565,4,Male,39,2,2,Sales Executive,4,Married,5349,2,Y,No,18,3,4,80,1,13,0,3,8,7,Non-Travel,Sales,2,No
1,0,Master,Life Sciences,6568,1,Male,79,3,1,Laboratory Technician,3,Single,3585,1,Y,No,11,3,3,80,0,5,4,1,0,0,Travel_Rarely,Research & Development,2,Yes
2,5,College,Life Sciences,6573,2,Male,85,4,2,Healthcare Representative,1,Divorced,4100,1,Y,No,12,3,4,80,2,6,1,3,6,3,Non-Travel,Research & Development,5,No
11,11,Bachelor,Life Sciences,6577,4,Male,47,3,1,Laboratory Technician,4,Married,3310,0,Y,No,11,3,3,80,1,16,3,3,15,13,Travel_Rarely,Research & Development,6,No
10,9,Master,Life Sciences,6580,1,Male,88,3,3,Manager,2,Married,11949,1,Y,Yes,12,3,4,80,1,10,1,2,10,7,Non-Travel,Research & Development,29,Yes
7,2,Bachelor,Life Sciences,6585,2,Female,71,4,3,Manager,2,Divorced,12096,6,Y,No,18,3,2,80,1,10,5,2,7,7,Travel_Rarely,Research & Development,22,No
2,4,Bachelor,Life Sciences,6588,3,Female,84,3,2,Manufacturing Director,2,Divorced,6497,1,Y,No,20,4,1,80,1,6,5,1,6,5,Travel_Frequently,Research & Development,1,No
2,6,Below College,Life Sciences,6589,1,Male,96,3,5,Research Director,2,Divorced,19244,2,Y,No,14,3,1,80,2,28,3,2,10,4,Travel_Rarely,Research & Development,4,No
12,6,Below College,Life Sciences,6591,2,Male,99,3,2,Sales Executive,3,Married,5007,1,Y,No,25,4,3,80,0,20,2,3,20,16,Travel_Rarely,Sales,1,No
1,9,College,Life Sciences,6592,2,Male,44,3,2,Sales Executive,4,Single,4654,1,Y,No,18,3,1,80,0,10,2,2,10,7,Travel_Frequently,Sales,2,No
6,7,Bachelor,Life Sciences,6595,4,Female,42,3,1,Research Scientist,4,Single,2215,1,Y,No,12,3,2,80,0,17,2,3,17,12,Travel_Rarely,Research & Development,1,No
1,0,Bachelor,Life Sciences,6596,2,Male,43,3,1,Laboratory Technician,3,Divorced,3261,2,Y,Yes,22,4,4,80,1,19,0,1,1,0,Travel_Frequently,Research & Development,24,Yes
2,2,Master,Life Sciences,6597,4,Male,82,3,2,Healthcare Representative,4,Divorced,5845,8,Y,No,14,3,2,80,1,10,1,3,2,2,Travel_Rarely,Research & Development,23,No
1,2,College,Life Sciences,6599,4,Female,66,3,1,Research Scientist,4,Single,3410,1,Y,No,21,4,4,80,0,5,2,3,5,3,Travel_Rarely,Research & Development,8,No
2,2,Master,Life Sciences,6600,3,Female,35,3,5,Research Director,1,Single,18765,8,Y,Yes,11,3,4,80,0,22,3,3,3,2,Travel_Frequently,Research & Development,10,No
1,0,Bachelor,Life Sciences,6609,3,Male,54,3,1,Laboratory Technician,3,Single,1520,1,Y,No,13,3,3,80,0,0,1,3,0,0,Travel_Rarely,Research & Development,3,Yes
1,0,Master,Life Sciences,6611,3,Male,81,4,1,Laboratory Technician,4,Married,3788,3,Y,No,18,3,4,80,2,4,1,3,1,0,Travel_Frequently,Research & Development,18,No
1,4,Master,Life Sciences,6614,4,Male,88,3,4,Manager,2,Single,16115,1,Y,No,19,3,2,80,0,22,1,3,22,10,Travel_Rarely,Sales,2,No
1,8,Master,Life Sciences,6623,2,Female,47,3,2,Laboratory Technician,2,Married,5774,6,Y,No,15,3,3,80,1,11,2,3,9,8,Non-Travel,Research & Development,24,No
5,8,Bachelor,Life Sciences,6624,4,Male,91,2,2,Sales Executive,3,Married,5584,1,Y,No,14,3,3,80,1,13,2,2,13,8,Travel_Rarely,Sales,7,No
1,1,College,Life Sciences,6625,1,Female,81,2,3,Research Director,2,Married,12161,2,Y,No,17,3,3,80,1,19,1,3,10,8,Travel_Rarely,Research & Development,25,No
2,2,Master,Life Sciences,6626,4,Male,32,1,2,Healthcare Representative,3,Divorced,5760,1,Y,Yes,13,3,4,80,1,12,1,3,5,3,Non-Travel,Research & Development,1,No
10,11,Bachelor,Life Sciences,6629,1,Male,97,3,3,Laboratory Technician,1,Divorced,5310,1,Y,No,18,3,1,80,1,24,1,3,24,9,Travel_Frequently,Research & Development,7,No
3,2,Master,Life Sciences,6630,3,Male,32,3,1,Research Scientist,4,Divorced,2795,0,Y,Yes,18,3,2,80,1,3,1,1,2,2,Travel_Rarely,Research & Development,2,No
9,8,Master,Life Sciences,6632,4,Female,74,3,3,Manager,2,Married,11978,5,Y,No,11,3,2,80,2,12,1,3,10,6,Travel_Frequently,Research & Development,5,No
2,7,Master,Life Sciences,6634,3,Female,33,3,1,Laboratory Technician,4,Single,2555,0,Y,No,19,3,1,80,0,9,4,3,8,7,Travel_Frequently,Research & Development,10,No
2,2,Bachelor,Life Sciences,6638,3,Female,85,3,1,Research Scientist,2,Single,2578,1,Y,Yes,12,3,2,80,0,4,1,2,4,3,Travel_Rarely,Research & Development,5,No
1,4,Bachelor,Life Sciences,6641,4,Male,74,3,2,Sales Executive,3,Single,4578,1,Y,Yes,11,3,1,80,0,5,2,3,5,4,Travel_Rarely,Sales,2,No
9,9,College,Life Sciences,6646,3,Female,48,2,3,Manufacturing Director,3,Married,9043,1,Y,No,24,4,1,80,1,10,1,3,10,9,Travel_Frequently,Research & Development,7,No
2,1,Phd,Life Sciences,6651,4,Male,42,3,5,Research Director,3,Married,18400,3,Y,No,11,3,2,80,1,21,1,3,3,2,Travel_Rarely,Research & Development,5,No
1,0,Master,Life Sciences,6652,3,Female,82,2,2,Laboratory Technician,3,Divorced,5357,1,Y,No,11,3,2,80,1,9,2,4,9,7,Travel_Frequently,Research & Development,10,No
1,3,Master,Life Sciences,6654,4,Female,31,3,2,Research Scientist,3,Single,4969,2,Y,No,12,3,4,80,0,20,3,2,4,3,Travel_Frequently,Research & Development,20,No
1,0,Bachelor,Life Sciences,6655,3,Female,43,3,3,Healthcare Representative,1,Married,10085,7,Y,No,16,3,1,80,1,10,0,2,1,0,Travel_Rarely,Research & Development,7,No
3,9,College,Life Sciences,6665,3,Male,92,2,3,Research Director,4,Divorced,11610,0,Y,Yes,14,3,2,80,1,12,2,3,11,10,Travel_Rarely,Research & Development,15,No
1,2,Below College,Life Sciences,6669,3,Male,83,3,1,Research Scientist,4,Divorced,3004,1,Y,No,12,3,3,80,2,4,1,2,4,2,Travel_Rarely,Research & Development,26,No
1,0,Phd,Life Sciences,6672,1,Female,44,3,4,Research Director,4,Single,16092,1,Y,No,14,3,2,80,0,16,1,3,1,0,Travel_Rarely,Research & Development,23,No
1,2,Bachelor,Life Sciences,6673,4,Male,61,3,2,Sales Executive,3,Married,4749,1,Y,No,14,3,1,80,1,4,2,2,4,3,Non-Travel,Sales,2,No
8,7,Bachelor,Life Sciences,6680,3,Male,57,3,2,Sales Executive,3,Married,5396,1,Y,No,17,3,2,80,1,8,2,3,8,7,Travel_Rarely,Sales,1,No
2,7,Master,Life Sciences,6687,4,Female,46,4,1,Laboratory Technician,3,Married,2313,2,Y,Yes,13,3,3,80,1,10,2,3,7,7,Travel_Rarely,Research & Development,10,No
3,2,Master,Life Sciences,6697,3,Male,42,2,1,Research Scientist,2,Single,2757,0,Y,Yes,16,3,4,80,0,3,4,3,2,2,Travel_Rarely,Research & Development,9,No
1,0,Bachelor,Life Sciences,6698,3,Female,90,4,1,Sales Representative,2,Single,2816,1,Y,No,15,3,4,80,0,1,0,,1,0,Travel_Rarely,Sales,12,Yes
2,2,Bachelor,Life Sciences,6699,4,Male,54,3,1,Research Scientist,4,Single,2301,8,Y,No,16,3,4,80,0,6,3,3,3,2,Travel_Rarely,Research & Development,23,No
1,0,Master,Life Sciences,6700,3,Male,97,2,2,Healthcare Representative,2,Single,6640,8,Y,No,19,3,3,80,0,10,4,3,1,1,Travel_Rarely,Research & Development,9,No
1,7,Master,Life Sciences,6702,2,Male,92,3,2,Sales Executive,4,Single,5353,1,Y,No,16,3,4,80,0,7,0,3,7,5,Travel_Rarely,Sales,9,No
1,7,College,Life Sciences,6704,3,Female,87,3,2,Sales Executive,4,Married,5036,3,Y,No,11,3,3,80,1,18,1,,7,7,Travel_Rarely,Sales,14,No
3,2,Bachelor,Life Sciences,6705,4,Female,96,3,1,Research Scientist,3,Married,2643,3,Y,No,13,3,2,80,1,6,2,3,2,2,Travel_Rarely,Research & Development,2,No
2,2,Bachelor,Life Sciences,6709,3,Female,97,3,4,Manager,4,Single,16759,1,Y,Yes,13,3,3,80,0,30,1,3,5,4,Travel_Rarely,Research & Development,2,No
13,17,Bachelor,Life Sciences,6719,4,Female,95,3,1,Laboratory Technician,1,Divorced,3134,1,Y,No,12,3,3,80,1,18,1,2,18,7,Travel_Rarely,Research & Development,14,No
2,2,Master,Life Sciences,6721,2,Female,95,3,1,Laboratory Technician,1,Divorced,2676,2,Y,No,16,3,2,80,1,8,4,3,5,2,Travel_Rarely,Research & Development,1,No
1,1,Master,Life Sciences,6722,3,Male,2456,3,2,Manufacturing Director,2,Single,4297,1,Y,Yes,12,3,4,80,0,18,1,2,1,0,Travel_Rarely,Research & Development,10,No
4,9,Bachelor,Life Sciences,6724,1,Male,59,2,4,Research Director,2,Divorced,14436,1,Y,No,11,3,3,80,1,25,2,3,25,10,Travel_Rarely,Research & Development,12,No
2,3,College,Life Sciences,6731,2,Female,99,2,2,Sales Executive,4,Single,4587,1,Y,Yes,11,3,2,80,0,5,2,3,5,4,Travel_Rarely,Sales,4,No
4,2,College,Life Sciences,6734,4,Male,98,2,1,Laboratory Technician,1,Married,2318,1,Y,No,12,3,3,80,1,4,2,3,4,2,Travel_Rarely,Research & Development,1,No
2,6,Below College,Life Sciences,6735,2,Male,52,3,5,Manager,3,Divorced,19297,1,Y,Yes,14,3,3,80,1,21,2,3,21,8,Travel_Frequently,Research & Development,1,No
8,7,Bachelor,Life Sciences,6736,3,Female,86,4,4,Sales Executive,1,Married,13312,8,Y,No,11,3,4,80,3,36,0,2,7,7,Travel_Frequently,Sales,6,No
1,2,College,Life Sciences,6748,1,Male,69,3,1,Research Scientist,4,Married,2754,2,Y,No,21,4,4,80,2,8,2,2,2,2,Travel_Rarely,Research & Development,10,No
2,4,College,Life Sciences,6750,4,Female,30,3,4,Manager,4,Married,16655,1,Y,No,13,3,4,80,0,31,1,1,5,2,Travel_Rarely,Research & Development,4,No
1,2,College,Life Sciences,6751,1,Female,92,3,2,Research Scientist,3,Divorced,4656,1,Y,No,11,3,2,80,1,19,2,3,5,4,Travel_Frequently,Research & Development,29,No
1,2,Bachelor,Life Sciences,6752,3,Female,43,1,2,Manufacturing Director,4,Single,6191,1,Y,No,20,4,3,80,0,11,1,3,5,4,Travel_Rarely,Research & Development,2,No
12,10,Bachelor,Life Sciences,6753,1,Female,41,3,5,Manager,1,Married,19666,4,Y,No,11,3,4,80,0,33,4,1,29,8,Travel_Rarely,Research & Development,7,No
